股票代码,股票名称,除净日,分红方案,截至过户日,最新公告日期,财政年度,分配类型,发放日
0700.HK,腾讯控股,2009-05-06,每股派港币0.1元,2009/05/08-2009/05/13,2009-05-14,2008,特别分配,
1088.HK,中国神华,2009-05-04,每股派人民币0.46元(相当于港币0.521838元(计算值)),2009/05/06-2009/06/05,2009-06-08,2008,年度分配,
0728.HK,中国电信,2009-04-23,每股派港币0.085元,2009/04/26-2009/05/26,2009-05-27,2008,年度分配,
1138.HK,中远海能,2009-04-22,每股派人民币0.3元(相当于港币0.340422元(计算值)),2009/04/24-2009/05/25,2012-03-05,2008,年度分配,
0388.HK,香港交易所,2009-04-16,每股派港币1.8元,2009/04/20-2009/04/23,2009-04-24,2008,年度分配,
0005.HK,汇丰银行,2009-03-18,每股派美元0.1元(可选择以股代息),2009/03/20-2009/03/20,2009-05-07,2008,年度分配,
0005.HK,汇丰银行,2008-11-19,每股派美元0.18元(可选择以股代息),2008/11/21-2008/11/21,2009-07-14,2008,三季度分配,
0939.HK,建设银行,2008-11-06,"每股派人民币0.1105元(相当于港币0.12535878元,汇率0.88147)",2008/11/10-2008/11/14,2012-03-06,2008,中期分配,
0941.HK,中国移动,2008-09-12,每股派港币1.339元,2008/09/17-2008/09/19,2008-08-28,2008,中期分配,
0883.HK,中国海洋石油,2008-09-10,每股派港币0.2元,2008/09/12-2008/09/19,2008-08-28,2008,中期分配,
0388.HK,香港交易所,2008-08-27,每股派港币2.49元,2008/08/29-2008/09/02,2008-08-14,2008,中期分配,
0005.HK,汇丰银行,2008-08-20,每股派美元0.18元(相当于港币1.404677元(计算值))(可选择以股代息),2008/08/22-2008/08/22,2008-09-04,2008,二季度分配,
0939.HK,建设银行,2008-06-17,"每股派人民币0.065元(相当于港币0.07354772,汇率0.88378)",2008/06/19-2008/06/23,2008-06-13,2007,年度分配,
1398.HK,工商银行,2008-06-10,每股派人民币0.133元(相当于港币0.146958元(计算值)),2008/06/12-2008/06/17,2008-06-06,2007,年度分配,
3968.HK,招商银行,2008-05-26,每股派港币0.318290元(相当于人民币0.28元),2008/05/28-2008/06/27,2012-06-18,2007,年度分配,
0005.HK,汇丰银行,2008-05-21,每股派美元0.18元(可选择以股代息),2008/05/23-2008/05/23,2008-06-03,2008,一季度分配,
0883.HK,中国海洋石油,2008-05-20,每股派港币0.17元,2008/05/22-2008/05/29,2008-05-30,2007,年度分配,
0700.HK,腾讯控股,2008-05-06,每股派港币0.16元,2008/05/08-2008/05/14,2012-03-02,2007,年度分配,
0941.HK,中国移动,2008-05-02,每股派港币1.16元,2008/05/06-2008/05/08,2008-05-09,2007,特别分配,
1138.HK,中远海能,2008-05-02,每股派人民币0.5元(相当于港币0.553851元(计算值)),2008/05/06-2008/06/06,2012-03-05,2007,年度分配,
0728.HK,中国电信,2008-04-28,每股派港币0.085元,2008/04/30-2008/05/30,2008-06-02,2007,年度分配,
0388.HK,香港交易所,2008-04-17,每股派港币3.4元,2008/04/21-2008/04/24,2008-03-06,2007,年度分配,
1088.HK,中国神华,2008-04-14,每股派人民币0.18元(相当于港币0.19772元(计算值)),2008/04/16-2008/05/15,2008-03-16,2007,年度分配,
1088.HK,中国神华,2008-04-14,每股派人民币0.3176元(相当于港币0.348865元(计算值)),2008/04/16-2008/05/15,2008-03-16,2007,特别分配,
0005.HK,汇丰银行,2008-03-19,每股派美元0.39元(可选择以股代息),2008/03/25-2008/03/25,2008-04-03,2007,年度分配,
1211.HK,比亚迪股份,2008-02-15,"每股派人民币1.3元(相当于港币1.409887元(计算值)),每10股转28股",2008/02/19-2008/03/20,2012-12-12,2007,中期分配,
0005.HK,汇丰银行,2007-11-21,每股派美元0.17元(可选择以股代息),2007/11/23-2007/11/23,2007-12-05,2007,三季度分配,
1088.HK,中国神华,2007-11-12,每股派人民币0.92863元(相当于港币0.961434元(计算值)),2007/11/14-2007/11/18,2007-10-26,2007,特别分配,
0939.HK,建设银行,2007-09-25,"每股派人民币0.072716元(相当于港币0.07502605元,汇率0.96921)",2007/09/28-2007/10/04,2007-08-26,2007,特别分配,
0939.HK,建设银行,2007-09-25,"每股派人民币0.067元(相当于港币0.06912847元,汇率0.96921)",2007/09/28-2007/10/04,2007-08-26,2007,中期分配,
0883.HK,中国海洋石油,2007-09-12,每股派港币0.13元,2007/09/14-2007/09/21,2007-08-30,2007,中期分配,
0388.HK,香港交易所,2007-09-05,每股派港币1.79元,2007/09/07-2007/09/11,2007-08-15,2007,中期分配,
0941.HK,中国移动,2007-09-03,每股派港币0.085元,2007/09/05-2007/09/07,2007-08-16,2007,特别分配,
0941.HK,中国移动,2007-09-03,每股派港币0.837元,2007/09/05-2007/09/07,2007-08-16,2007,中期分配,
0005.HK,汇丰银行,2007-08-15,每股派美元0.17元(相当于港币1.330095元(计算值))(可选择以股代息),2007/08/17-2007/08/17,2007-08-29,2007,二季度分配,
1211.HK,比亚迪股份,2007-06-18,每3股分派1股比亚迪电子优先发售之保留股份,2007/06/21-2007/06/21,2007-05-25,2007,特别分配,
1398.HK,工商银行,2007-06-13,每股派人民币0.016元(相当于港币0.016179元(计算值)),2007/06/15-2007/06/20,2012-03-05,2006,年度分配,
0005.HK,汇丰银行,2007-05-16,每股派美元0.17元(相当于港币1.32964元(计算值))(可选择以股代息),2007/05/18-2007/05/18,2007-06-04,2007,一季度分配,
0883.HK,中国海洋石油,2007-05-16,每股派港币0.14元,2007/05/18-2007/05/25,2007-06-04,2006,年度分配,
3968.HK,招商银行,2007-05-14,每股派港币0.122747元(相当于人民币0.12元),2007/05/16-2007/06/15,2012-06-18,2006,年度分配,
0941.HK,中国移动,2007-05-10,每股派港币0.763元,2007/05/14-2007/05/16,2012-03-06,2006,年度分配,
0941.HK,中国移动,2007-05-10,每股派港币0.069元,2007/05/14-2007/05/16,2012-03-06,2006,特别分配,
0939.HK,建设银行,2007-05-10,"每股派人民币0.092元(相当于港币0.09427292元,汇率0.97589)",2007/05/14-2007/06/12,2007-06-13,2006,年度分配,
0700.HK,腾讯控股,2007-05-09,每股派港币0.12元,2007/05/11-2007/05/16,2007-05-17,2006,年度分配,
1211.HK,比亚迪股份,2007-05-08,每股派人民币0.4元(相当于港币0.403955元(计算值)),2007/05/10-2007/06/08,2007-03-19,2006,年度分配,
1138.HK,中远海能,2007-05-07,每股派人民币0.3元(相当于港币0.303052元(计算值)),2007/05/09-2007/06/07,2012-03-05,2006,年度分配,
0728.HK,中国电信,2007-04-26,每股派港币0.085元,2007/04/29-2007/05/29,2007-06-04,2006,年度分配,
0388.HK,香港交易所,2007-04-19,每股派港币1.19元,2007/04/23-2007/04/26,2007-04-27,2006,年度分配,
1088.HK,中国神华,2007-04-12,每股派人民币0.34元(相当于港币0.343282元(计算值)),2007/04/14-2007/05/14,2007-06-04,2006,年度分配,
0005.HK,汇丰银行,2007-03-21,每股派美元0.36元(可选择以股代息),2007/03/23-2007/03/23,2007-04-05,2006,年度分配,
0005.HK,汇丰银行,2006-11-22,每股派美元0.15元(可选择以股代息),2006/11/24-2006/11/24,2006-12-11,2006,三季度分配,
0883.HK,中国海洋石油,2006-09-13,每股派港币0.12元,2006/09/15-2006/09/22,2006-08-30,2006,中期分配,
0388.HK,香港交易所,2006-09-06,每股派港币0.94元,2006/09/08-2006/09/12,2006-08-16,2006,中期分配,
0941.HK,中国移动,2006-09-04,每股派港币0.62元,2006/09/06-2006/09/08,2006-08-18,2006,中期分配,
0941.HK,中国移动,2006-09-04,每股派港币0.09元,2006/09/06-2006/09/08,2006-08-18,2006,特别分配,
0005.HK,汇丰银行,2006-08-16,每股派美元0.15元(相当于港币1.165786元(计算值))(可选择以股代息),2006/08/18-2006/08/18,2006-12-11,2006,二季度分配,
0005.HK,汇丰银行,2006-05-17,每股派美元0.15元(相当于港币1.163081元(计算值))(可选择以股代息),2006/05/19-2006/05/19,2007-05-23,2006,一季度分配,
0883.HK,中国海洋石油,2006-05-15,每股派港币0.1元,2006/05/17-2006/05/24,2007-05-25,2005,年度分配,
0700.HK,腾讯控股,2006-05-15,每股派港币0.08元,2006/05/17-2006/05/24,2007-06-07,2005,年度分配,
0939.HK,建设银行,2006-05-12,"每股派人民币0.015元(相当于港币0.01455265元,汇率1.03074)",2006/05/16-2006/06/14,2007-05-25,2005,年度分配,
0941.HK,中国移动,2006-05-12,每股派港币0.57元,2006/05/16-2006/05/18,2006-04-11,2005,年度分配,
1138.HK,中远海能,2006-04-25,每股派人民币0.3元(相当于港币0.29022元(计算值)),2006/04/27-2006/05/26,2007-05-25,2005,年度分配,
0728.HK,中国电信,2006-04-20,每股派港币0.075元,2006/04/24-2006/05/23,2007-05-25,2005,年度分配,
0388.HK,香港交易所,2006-04-19,每股派港币0.64元,2006/04/21-2006/04/26,2006-07-03,2005,年度分配,
1088.HK,中国神华,2006-04-10,每股派人民币0.125元(相当于港币0.12054元(计算值)),2006/04/12-2006/05/12,2006-03-13,2005,年度分配,
0005.HK,汇丰银行,2006-03-22,每股派美元0.31元(可选择以股代息),2006/03/24-2006/03/24,2006-07-11,2005,年度分配,
0005.HK,汇丰银行,2005-11-23,每股派美元0.14元(可选择以股代息),2005/11/25-2005/11/25,2006-07-11,2005,三季度分配,
0883.HK,中国海洋石油,2005-09-13,每股派港币0.05元,2005/09/15-2005/09/22,2007-05-25,2005,中期分配,
0883.HK,中国海洋石油,2005-09-13,每股派港币0.05元,2005/09/15-2005/09/22,2007-05-25,2005,特别分配,
0388.HK,香港交易所,2005-09-05,每股派港币0.49元,2005/09/07-2005/09/09,2006-07-03,2005,中期分配,
0941.HK,中国移动,2005-08-29,每股派港币0.45元,2005/08/31-2005/09/02,2005-08-11,2005,中期分配,
0005.HK,汇丰银行,2005-08-17,每股派美元0.14元(相当于港币1.088731元(计算值))(可选择以股代息),2005/08/19-2005/08/19,2006-07-11,2005,二季度分配,
0005.HK,汇丰银行,2005-05-18,每股派美元0.14元(相当于港币1.09元)(可选择以股代息),2005/05/20-2005/05/20,2006-07-11,2005,一季度分配,
0883.HK,中国海洋石油,2005-05-13,每股派港币0.03元,2005/05/18-2005/05/25,2005-11-10,2004,年度分配,
0883.HK,中国海洋石油,2005-05-13,每股派港币0.05元,2005/05/18-2005/05/25,2005-11-10,2004,特别分配,
0941.HK,中国移动,2005-05-06,每股派港币0.46元,2005/05/10-2005/05/12,2005-03-11,2004,年度分配,
1138.HK,中远海能,2005-04-27,每股派人民币0.15元(相当于港币0.141403元(计算值)),2005/04/29-2005/05/30,2007-05-25,2004,年度分配,
0728.HK,中国电信,2005-04-21,每股派港币0.065元,2005/04/25-2005/05/25,2012-08-01,2004,年度分配,
0700.HK,腾讯控股,2005-04-19,每股派港币0.07元,2005/04/21-2005/04/27,2007-06-07,2004,年度分配,
1211.HK,比亚迪股份,2005-04-14,每股派人民币0.577元(相当于港币0.54398元(计算值)),2005/04/18-2005/05/17,2007-05-25,2004,年度分配,
